title,index,page,about,ingridients,preparation,nutrition per 100g of recipe,energy(kcal),fat(g),carbohydrates(g),proteins(g),fibre(g),vitamin A(mcg),iron(mg),zinc(mg),F_factor_est
"Tosti Mayai 
(Egg Toast)",15028,44,"Egg on toast is a popular recipe used to enrich bread among urban dwellers. It is prepared by simply
dipping bread slices on beaten egg, then frying on lightly oiled pan. Mainly serves as a breakfast item and
is eaten by the entire family","eggs
salt
cooking oil
bread","Preparation 10 minutes | Cooking 10 minutes | 
Makes 4
?  Break eggs into a clean bowl, add salt and beat.
?  Heat a wide pan for 1 minute on high heat.
?  Put oil and spread it into the pan. Heat the oil for
1 minute.
?  Dip bread slices into the eggs, turn to coat both
sides of each slice.
?  Gently place all the egg-soaked bread slices onto
the greased pan.
?  Cook each side for 1 minute.
?  Remove from heat and serve.","Energy 1,175 kJ/ 280 kcal | Fat 10.7 g | Carbohydrates 32.4 g | Protein 12.5 g | Fibre 1.9 g
Vitamin A 106 mcg | Iron 2.1 mg | Zinc 1.20 mg",280,10.7,32.4,12.5,1.9,106,2.1,1.2,0.4
Oatmeal,15122,46,"This quick to prepare recipe, is eaten mainly for breakfast and is common among urban dwellers. It is
eaten by the entire family.","oats
water
salt","Preparation 5 minutes | Cooking 5 minutes | Serves 
4
?  Put the whole amount of oats and all the water
into a pot and place on the stove.
?  Add a little salt to taste. Bring to boil while stirring
continuously.
?  Boil for 1 minute, remove from heat and cover.
?  Serve.","Energy 351 kJ/ 83 kcal |  Fat 1.7g | Carbohydrates 12.9 g | Protein 2.4 g | Fibre 3.5 g
Vitamin A 0 mcg | Iron 1.0 mg |  Zinc 0.71 mg",83,1.7,12.9,2.4,3.5,0,1,0.71,0.5
"Chai ya Maziwa
(Mixed Tea)",15081,48,"This is the most popular non-alcoholic beverage in Kenya. Enriched with fresh milk, it is drunk as a breakfast beverage and enjoyed by the entire family","water
cow milk
sugar
tea leaves","Preparation 5 minutes | Cooking 1 hour |
Makes 17 cups
?  Bring all the water to a boil.
?  Add the tea leaves and continue to cook for 5
minutes.
?  Add milk and bring to a boil.
?  Add sugar, stir and bring to a boil.
?  Turn off the heat and sieve.
?  Serve while hot.","Energy 153 kJ/ 36 kcal | Fat 1.2 g | Carbohydrates 5.4 g | Protein 1.1 g | Fibre 0.0 g
Vitamin A 14 mcg | Iron 0.0 mg | Zinc 0.21 mg",36,1.2,5.4,1.1,0,14,0,0.21,0.1
"Vimumunya vya Chumvi
(Pumpkin & Coconut Milk)",15064,50,"?Vimumunya? is a Swahili word that connotes the way this dish is eaten. It is a pumpkin meal that is common among communities at the coastal region particularly among the Mijikenda community. It is served as
a main course among the Mijikenda and as a dessert among the Bajuni community","Pumpkin
salt
coconut milk
water","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?  Peel the pumpkin and cut into chunks.
?  Put pumpkin into a pot, add all the water and start
cooking.
?  Add salt and bring to boil for 15 minutes.
?  Add coconut milk and boil for 5 minutes.
?  Remove from heat.
?  Serve","Energy 297 kJ/ 72 kcal | Fat 4.9 g | Carbohydrates 4.6 g | Protein 1.3 g | Fibre 1.9 g
Vitamin A 88 mcg | Iron 0.3 g | Zinc 0.25 mg",72,4.9,4.6,1.3,1.9,88,0.3,0.25,0.7
"Maize Porridge
(Uji wa Mahindi)",15001,54,"Whole maize flour has been used for many years by many communities in Kenya to prepare porridge.
Enriched with milk, it also serves as an infant dish.","whole maize flour
water
cow milk","Preparation 5 minutes | Cooking 25 minutes | Serves 4 
?  Put 5 cups of the water into the cooking pot, cover and
heat until it boils.
?  Meanwhile mix the maize flour with 2 cups cold water
separately. Use cold water to avoid forming lumps.
?  Stir until smooth.
?  Add the mixture into boiling water while stirring and
continue stirring to avoid forming lumps.
?  Allow to cook for 3 minutes.
?  Add milk and cook for a further 7 minutes.
?  Serve hot.
","Energy 221 kJ/ 52 kcal | Fat 1.1 g | Carbohydrates 8.5 g | Protein 1.5 g | Fibre 1.1 g
Vitamin A 7 mcg  | Iron 0.3 mg | Zinc 0.33 mg",52,1.1,8.5,1.5,1.1,7,0.3,0.33,0.5
"Sorghum, Finger 
Millet, Maize Flour 
Porridge",15002,56,"This recipe is made from a mixture of 3 grains ground together into flour. It is rich in nutrients and is enriched with milk. Popular among many households in Kenya as a family dish, the porridge, serves infants/
children","sorghum flour
finger millet flour
maize flou
cow milk
water","Preparation 5 minutes | Cooking 30 minutes | Serves 4
?  Mix the whole maize flour, sorghum flour and finger
millet into a bowl.
?  Add 2 cups of cold water into the flour mixture, stir
until smooth using a wooden cooking stick.
?  Bring 5 cups of water to boil in a cooking pot.
?  After the water has boiled, add the mixture as you
stir. Keep stirring to avoid forming lumps.
?  Add milk after 10 minutes of cooking.
?  Keep stirring until cooked. If the porridge is too thick
add a little water (1/4 cup) or until desired consistency
is achieved.
?  Serve hot","Energy 174 kJ/ 41 kcal | Fat 0.9 g | Carbohydrates 6.3 g | Protein 1.3 g | Fibre 1.3 g
Vitamin A 7 mcg | Iron 0.5 mg | Zinc 0.27 mg",41,0.9,6.3,1.3,1.3,7,0.5,0.27,0.5
"Cassava Porridge 
(Uji wa Muhogo)",15013,58,"The ancient cassava has been a traditional staple in most Kenyan communities, particularly Western and
Coastal regions. Dried and ground into fine flour, cassava makes refreshing porridge for the entire family","cassava flour
sugar
water","Preparation 2 minutes | Cooking 20 minutes | 
Serves 6
?  Boil 6 cups of water in a pot for 6 minutes.
?  In a separate bowl, add 2 1/2 cups of water to the cassava flour and mix to a medium paste.
?  Add the paste to the boiling water and stir continuously until the mixture boils to prevent lumps.
?  Continue boiling for 13 minutes and add sugar.
?  Stir, remove and serve the porridge","Energy 121 kJ/ 28 kcal | Fat 0.0 g | Carbohydrates 6.8 g | Protein 0.1 g | Fibre 0.3 g
Vitamin A 0 mcg |  Iron 0.1 mg | Zinc 0.05 mg",28,0,6.8,0.1,0.3,0,0.1,0.05,0.5
"Finger Millet Porridge
(Uji wa Wimbi)",15014,60,"This porridge is made from the tiny finger millet grain best known for its characteristic brown colour and
good source of fibre. It is common in Western and Eastern parts of Kenya. This porridge is prepared from
carefully cleaned and dried finger millet grains. It is commonly enriched with milk or sugar and serves
children and adults alike","finger millet flour
sugar
water","Preparation 5 minutes | Cooking 20 minutes | Serves 4
?  Boil 5 cups of water in a pot.
?  In a separate bowl, add 2 cups of water to the finger
millet flour and mix to a medium paste.
?  Add the paste to the boiling water and stir to prevent
lumps from forming (do this until the mixture boils).
?  Leave to boil for 5 minutes and add sugar.
?  Stir, remove and serve the porridge.","Energy 168 kJ/ 40 kcal  | Fat 0.2 g |  Carbohydrates 7.2 g  | Protein 0.7 g  | Fibre 2.1 g
Vitamin A 0 mcg  | Iron 1.1 mg |  Zinc 0.16 mg",40,0.2,7.2,0.7,2.1,0,1.1,0.16,0.5
"Bulrush Millet Porridge 
(Uji wa Mawele)",15015,62,"This recipe is common among the Bantu communities particularly in Eastern part of Kenya. Bulrush millet
is a rich grain. Its porridge was traditionally a special treat during passage rites ceremonies for young
boys. In modern times, this porridge is consumed by both children and adults.","bulrush millet flour
sugar
water","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?  Put 3 1/3 cups of water in a pot and bring to a boil.
?  In a separate bowl, add 1 cup of water to bulrush
millet flour. Stir to a smooth light consistency.
?  Add the paste/ mixture to the boiling water while
stirring to prevent lumps. Stir until the mixture starts to boil.
?  Add sugar after 5 minutes and continue stirring.
?  Cook for 13 minutes and then remove from fire.","Energy 350 kJ/ 83 kcal | Fat 1.0 g | Carbohydrates 15.7 g | Protein 2 g | Fibre 1.6 g
Vitamin A 0 mcg | Iron 6 mg | Zinc 0.77 mg",83,1,15.7,2,1.6,0,6,0.77,0.5
"Rice Flour Porridge
(Uji wa Mchele)",15016,64,"Rice flour porridge is a native infant porridge among the Swahilis in Kenya. It is wonderfully flavoured and
enriched with coconut milk.","rice flour
sugar
cardamom powder
coconut milk
water","Preparation 5 minutes | Cooking 20 minutes | 
Serves 6
?  In a pot, mix 6 cups of water with cardamom powder
and bring the mixture to a boil for 5 minutes.
?  In a separate bowl, add 2 cups of water to the rice
flour and mix to a smooth paste.
?  Add the paste to the boiling water gradually and stir
continuously to prevent lumps.
?  Cook while stirring for 3 minutes then add the coconut milk.
?  Stir and add sugar.
?  Add 1/8 cup of water while stirring to a smooth medium consistency for 3 minutes.
?  Remove from heat","Energy 235 kJ/56 kcal | Fat 1.3 g | Carbohydrates 10.2 g | Protein 0.6 g |  Fibre 0.2 g
Vitamin A 0 mcg | Iron 0.1 g | Zinc 0.11 mg",56,1.3,10.2,0.6,0.2,0,0.1,0.11,0.5
"Cassava, Finger Millet 
& Sorghum Porridge",15012,66,"This recipe is common among communities that grow cassava. Dried and ground cassava is mixed with
sorghum and millet flour to prepare the porridge. It is considered a family dish.","cassava flour
red sorghum flour
finger millet flour
sugar
water","Preparation 5 minutes | Cooking 25 minutes | 
Serves 4
?  Blend the cassava, red sorghum and finger millet
flour evenly.
?  Add 1 1/2 cups of water to the blended flours gradually to a medium consistency.
?  In a separate pot, bring 6 cups of water to a boil.
?  Add the paste to the boiling water and stir until
the mixture thickens and starts to bubble to prevent lumps from forming.
?  Add sugar, stir and leave it to boil for 10 minutes.
?  Remove from fire and serve hot.","Energy 194 kJ/ 46 kcal   Fat 0.1 g | Carbohydrates 10.2 g | Protein 0.5 g | Fibre 1.0 g
Vitamin A 0 mcg | Iron 0.4 mg | Zinc 0.12 mg",46,0.1,10.2,0.5,1,0,0.4,0.12,0.5
"Finger Millet &
 Sorghum Porridge",15119,68,A mixture of sorghum and finger millet grains provides a classic blend of nutrients in the porridge. Sometimes this porridge is enriched with sugar and milk. An excellent complementary food option in most communities in Kenya.,"finger millet flour
sorghum flour
milk
water","Preparation 3-5 minutes | Cooking 15 minutes | Serves 4
?  Boil 3 cups of the water in a pot.
?  Mix the finger millet and the sorghum flour in a bowl,
add 1 1/2 cups of milk and stir to attain a smooth consistency without lumps.
?  Add the mixture into the boiling water and stir continuously until it boils.
?  Add the rest of the milk and water.
?  Continue cooking while stirring until ready (8-10 minutes).
?  Remove from heat.","Energy 311 kJ/ 74 kcal | Fat 2.2 g | Carbohydrates 9.7 g | Protein 2.7 g | Fibre 2.3 g
Vitamin A 22 mcg | Iron 1.1 mg | Zinc 0.54 mg",74,2.2,9.7,2.7,2.3,22,1.1,0.54,0.5
"Oat Porridge
(Uji wa Shayiri)",15123,70,"Oat porridge provides a high satiety value to the family. Mainly an urban dish, it is growing in popularity as
an infant dish but also serves as a breakfast option for adults.","oatmeal flour
sugar
water
cow milk","Preparation 5 minutes | Cooking 10 minutes | Serves 4
?  Put 1 1/2 cups of water into a cup, add oat flour and stir to
a smooth consistency.
?  Put the rest of the water in a pot and bring to boil.
?  Add the flour mixture into the boiling water and stir.
?  Continue stirring while cooking for 2 minutes.
?  Add milk and heat while stirring for 7 minutes.
?  Add sugar and stir to mix.
?  Remove and serve while hot.","Energy 363 kJ/ 86 kcal | Fat 1.6g | Carbohydrates 15.3 g | Protein 1.9 g | Fibre1.4 g
Vitamin A 11 mcg | Iron 0.4 mg | Zinc 0.45 mg",86,1.6,15.3,1.9,1.4,11,0.4,0.45,0.5
